question_id,claude0_min,claude0_max,claude0_final,claude1_min,claude1_max,claude1_final,claude2_min,claude2_max,claude2_final,claude3_min,claude3_max,claude3_final,claude4_min,claude4_max,claude4_final
27791,35.5,62.75,48.9,42.5,62.75,53.4,25.5,42.75,34.2,15.5,32.75,24.3,45.5,65.75,55.4
27790,5.0,15.0,8.5,7.5,22.3,12.45,5.5,22.7,12.4,5.0,15.0,8.5,1.0,5.0,2.5
27789,12.5,27.5,17.8,25.5,42.75,33.4,22.5,37.75,29.9,35.5,52.75,44.25,25.5,42.75,34.25
27788,40.5,62.3,51.75,52.1,67.9,59.5,52.1,67.9,59.5,40.0,60.0,52.5,51.0,74.5,62.75
27749,55.25,72.4,64.75,42.5,57.5,49.75,65.5,82.3,73.75,45.5,68.75,57.3,45.5,62.75,54.33
27748,25.5,42.3,34.7,15.5,27.75,21.33,8.5,17.2,12.75,25.5,42.75,34.2,15.5,32.75,23.4
27747,45.5,61.3,53.75,52.5,67.3,59.8,45.5,62.75,54.3,40.25,55.75,47.5,45.5,62.75,54.3
27746,68.5,82.3,75.4,85.5,94.3,90.25,65.5,82.3,74.75,65.5,78.25,72.4,68.5,82.3,75.4
27745,71.5,88.3,82.7,75.5,89.9,82.75,65.5,85.75,76.33,65.5,82.75,74.3,75.5,92.25,86.4
27733,87.5,93.25,90.1,87.5,95.75,92.25,70.0,90.0,82.5,87.5,95.75,92.35,87.5,96.75,92.3
27732,35.5,47.75,42.3,35.5,62.75,48.9,35.5,62.75,48.9,25.5,42.75,34.2,25.5,42.7,33.4
27723,28.5,38.75,33.25,22.5,37.8,30.25,22.5,47.75,35.4,12.5,25.75,18.35,25.5,42.75,33.4
27722,5.0,20.0,12.5,12.5,37.5,25.3,5.0,15.0,8.75,10.0,25.0,15.5,15.0,35.0,22.5
27721,25.5,42.75,35.4,32.5,42.75,37.25,55.0,75.0,65.5,20.5,35.75,28.4,35.5,52.75,44.25
27720,65.5,82.3,74.2,75.5,89.9,82.7,65.5,84.3,76.4,40.0,65.0,52.5,72.5,85.75,79.25
27640,72.5,89.9,81.25,65.5,84.3,76.4,57.5,72.3,65.4,55.5,78.3,67.4,65.5,84.3,76.4
27639,85.0,95.0,91.5,85.5,94.75,90.25,85.5,94.3,90.4,85.0,95.0,91.5,85.5,94.3,90.25
27638,47.5,62.5,55.25,42.5,62.75,53.4,35.0,55.0,42.5,10.0,35.0,22.5,45.5,72.3,61.2
27637,12.5,27.5,18.75,15.0,35.0,25.5,15.5,30.75,22.35,12.5,25.0,16.67,22.5,37.75,29.9
27610,1.5,4.75,2.85,3.5,12.75,7.25,3.5,12.75,7.25,2.5,7.5,4.75,3.5,12.7,7.4
27609,57.5,72.3,64.75,35.5,54.75,44.25,35.5,62.75,48.9,47.5,62.3,55.4,65.5,82.3,74.2
27608,45.5,65.75,55.4,65.5,84.3,75.4,72.5,89.9,83.33,65.5,82.3,74.2,45.5,67.3,56.75
27607,72.5,88.75,81.35,62.5,77.75,70.25,42.5,67.3,55.4,65.5,82.3,74.6,62.5,77.3,69.75
27606,65.5,82.3,74.2,62.5,77.5,68.75,68.5,82.3,75.4,62.5,77.5,70.25,45.5,62.75,54.3
27605,5.0,15.0,8.75,15.4,32.7,22.85,15.5,32.75,24.4,5.0,15.0,8.75,15.5,35.75,24.4
27604,3.5,12.75,7.25,2.5,7.5,4.25,2.5,7.5,5.0,5.0,25.0,12.5,3.5,12.75,7.25
27603,12.5,37.5,25.0,5.5,22.75,14.3,22.5,35.75,29.4,15.5,35.7,25.4,12.5,37.5,25.0
27602,12.5,37.5,25.3,12.5,27.75,19.5,12.5,37.5,25.3,3.5,12.75,7.25,12.5,37.5,25.3
27584,15.0,35.0,25.5,35.5,62.75,48.9,35.5,62.75,48.9,35.5,55.75,45.6,42.5,68.75,55.6
27583,35.5,62.7,48.9,35.5,62.4,48.75,45.5,72.3,58.7,35.5,62.75,48.9,12.5,37.5,25.3
27582,3.5,12.75,7.9,10.5,35.75,22.3,12.5,37.5,25.0,3.5,12.75,7.25,3.5,17.25,8.75
27581,85.5,94.3,91.2,65.5,80.25,72.75,75.5,92.3,84.7,55.5,74.3,67.2,85.0,95.0,90.5
27576,12.5,27.75,18.9,8.5,22.75,15.4,22.5,37.8,29.65,12.5,27.45,18.75,12.5,27.5,17.8
27548,3.0,12.5,7.25,5.0,15.0,8.5,5.0,15.0,9.5,5.0,15.0,8.5,5.5,18.75,12.25
27547,3.0,12.5,7.25,12.5,37.5,25.0,5.0,20.0,12.5,5.0,15.0,8.5,5.0,25.0,12.5
27546,5.0,15.0,10.5,5.0,15.0,9.5,5.0,15.0,8.5,5.0,15.0,8.5,5.0,15.0,8.5
27545,5.0,15.0,10.5,5.0,15.0,10.5,5.0,15.0,8.5,5.0,15.0,8.5,3.5,12.75,7.25
27539,0.5,2.75,1.25,0.5,2.5,1.25,0.5,3.25,1.75,1.5,4.75,2.85,0.5,5.0,1.75
27538,0.5,2.5,1.25,0.5,2.5,1.25,2.5,7.5,4.75,1.5,4.75,2.85,1.5,4.75,3.25
27524,72.5,87.3,81.4,65.5,84.3,76.4,65.5,82.3,75.4,65.5,82.3,74.4,65.5,82.3,74.2
27523,35.5,62.75,48.9,42.5,62.75,54.3,22.5,42.75,32.6,35.5,62.75,48.9,42.5,67.3,55.75
27522,1.0,5.5,3.25,2.0,5.5,3.75,5.0,15.0,8.5,12.5,27.75,18.33,2.0,7.5,4.25
27521,75.5,92.3,85.4,85.5,94.7,91.2,65.5,85.75,76.33,65.5,82.3,74.2,75.5,92.3,84.7
27515,82.5,94.75,88.4,75.5,89.9,82.7,72.5,88.75,81.33,65.5,82.3,74.2,72.5,88.3,81.4
27493,0.15,0.35,0.23,15.0,35.0,25.0,15.0,35.0,25.0,0.1,0.3,0.2,10.0,30.0,15.5
27492,0.2,0.4,0.25,0.15,0.3,0.2,0.1,0.3,0.2,0.2,0.35,0.25,15.0,35.0,25.0
27491,35.0,65.0,50.0,20.0,40.0,30.0,0.15,0.35,0.3,0.2,0.35,0.3,0.2,0.4,0.3
27490,0.15,0.25,0.2,0.15,0.25,0.2,0.15,0.25,0.2,0.15,0.25,0.2,65.0,85.0,75.5
27489,15.0,35.0,25.0,15.0,35.0,25.0,15.0,35.0,25.0,0.1,0.3,0.2,0.1,0.3,0.2
27488,0.1,0.3,0.2,0.1,0.3,0.2,10.0,30.0,20.0,5.0,15.0,10.0,15.0,35.0,25.0
27487,25.0,45.0,32.5,15.0,35.0,25.5,25.0,45.0,32.5,10.0,40.0,32.5,10.0,35.0,25.0
27486,25.5,42.75,32.5,10.0,35.0,25.5,25.5,42.75,32.5,25.5,42.75,32.5,25.5,42.75,32.5
27485,85.5,97.25,92.4,67.5,75.5,72.5,85.5,95.75,91.25,68.5,85.75,75.25,65.5,82.75,74.25
27484,85.5,94.5,90.25,10.0,30.0,15.5,5.5,25.5,15.5,85.5,95.9,91.25,5.0,15.0,10.0
27447,42.5,57.5,47.0,35.5,52.75,44.25,42.5,52.75,47.25,35.5,52.75,44.2,42.5,57.75,49.9
27283,45.5,65.75,55.25,45.5,72.3,58.75,60.0,75.0,70.1,65.5,82.3,73.75,45.5,62.3,53.75
27282,12.5,27.75,19.4,3.5,8.75,6.25,3.5,9.9,6.75,17.5,27.75,22.4,15.5,32.75,24.3
27281,85.5,94.75,90.25,82.0,93.5,88.75,75.0,92.5,86.75,68.5,85.75,77.25,85.0,95.0,91.5
27279,65.0,85.0,75.5,72.5,89.9,83.3,65.0,85.0,75.5,65.5,74.75,70.25,45.0,65.0,55.5
27278,65.0,85.0,75.5,70.0,85.0,77.5,65.5,84.75,75.25,70.0,90.0,82.5,75.5,92.3,88.4
27277,75.0,90.0,82.5,65.0,85.0,75.5,65.0,85.0,75.5,82.0,95.5,89.25,35.0,55.0,45.5
27263,55.0,75.0,65.5,45.0,65.0,55.5,55.3,74.6,68.4,25.0,55.0,42.0,35.5,62.3,48.75
27262,15.5,37.8,26.7,15.0,35.0,25.5,15.0,35.0,25.5,25.5,45.75,35.6,22.45,39.87,31.25
27261,65.5,84.3,75.4,55.3,78.6,67.45,65.5,82.3,74.4,55.25,78.45,67.35,42.5,62.75,52.3
27260,70.5,89.75,82.3,70.5,89.9,82.3,65.0,85.0,75.5,75.5,92.3,86.4,52.0,68.0,59.5
27259,8.5,14.75,11.25,35.5,62.3,48.75,35.5,62.75,48.9,35.5,64.8,49.75,35.5,52.75,44.25
27258,80.5,85.75,83.2,65.0,85.0,75.5,85.5,94.75,90.25,85.5,94.75,90.25,87.5,92.5,90.25
27248,3.5,12.75,7.25,15.0,35.0,25.5,15.5,37.25,26.4,35.5,62.75,48.9,15.0,35.0,25.5
27241,70.0,90.0,82.5,15.0,45.0,32.5,25.5,45.75,35.4,25.0,45.0,35.5,15.0,45.0,27.5
27240,60.0,85.0,75.5,25.0,45.0,35.5,20.0,40.0,30.5,65.0,85.0,76.5,85.5,96.75,92.25
27239,70.0,90.0,82.5,70.0,85.0,78.5,60.0,85.0,75.5,25.0,45.0,35.5,70.0,85.0,77.5
27238,35.5,47.8,41.75,22.5,37.8,29.9,15.5,29.9,22.7,35.0,55.0,45.5,15.0,25.0,19.5
27223,42.5,67.3,55.4,22.5,42.75,33.4,62.5,78.3,71.4,35.5,49.75,42.3,35.5,62.75,48.9
27222,32.5,47.75,40.25,65.5,78.3,72.4,35.5,62.75,48.9,20.0,40.0,30.5,40.0,65.0,52.75
27221,45.5,67.3,56.75,35.5,64.75,49.9,35.5,62.7,48.9,35.5,46.75,41.25,15.5,35.75,25.4
27220,65.5,82.75,74.3,65.5,82.3,74.2,42.5,57.75,50.25,35.5,62.75,48.9,45.5,62.75,54.3
27219,35.5,62.75,48.9,35.5,62.75,48.9,65.5,82.3,73.4,72.5,89.9,81.25,35.5,62.3,48.75
27200,2.5,7.5,4.75,3.5,12.75,7.25,0.5,3.5,1.75,0.5,3.2,1.75,2.5,7.5,4.75
27161,85.5,94.75,91.25,45.5,72.3,61.75,65.5,82.3,73.4,55.0,75.0,67.5,65.5,84.75,75.33
27160,10.5,19.75,15.2,22.5,37.75,30.25,22.1,32.5,27.4,15.5,25.75,20.35,12.5,27.75,18.4
27159,3.5,12.75,7.25,2.5,7.5,4.75,0.5,3.5,1.75,3.5,12.75,7.25,1.5,5.75,3.25
27158,3.5,12.75,7.25,15.0,35.0,22.5,15.5,37.25,24.75,7.5,22.5,15.25,35.5,62.3,48.75
27157,12.5,27.75,18.35,7.5,10.25,8.75,12.5,27.75,18.35,3.5,7.2,5.4,5.5,12.75,8.9
27141,42.5,67.3,55.75,45.5,72.3,59.75,35.5,52.75,44.3,35.5,62.3,48.75,35.5,47.75,42.3
27140,65.5,84.75,76.33,70.0,85.0,77.5,70.0,90.0,82.5,65.5,84.7,76.4,65.5,84.75,76.25
27138,65.5,84.3,75.4,75.1,80.9,78.5,75.0,92.5,85.75,65.5,84.3,76.4,65.5,84.3,75.4
27137,5.0,15.0,8.75,0.5,5.0,1.25,15.5,38.75,27.4,5.0,15.0,9.5,0.5,3.5,1.25
27136,8.5,15.75,12.25,5.5,15.75,9.3,12.5,22.5,17.75,3.5,12.75,7.25,12.5,27.75,18.45
27135,65.0,75.0,70.5,55.0,75.0,67.5,65.0,85.0,75.5,55.5,74.3,67.4,65.0,85.0,75.5
27134,52.5,67.3,59.75,65.5,75.25,70.75,62.5,72.5,67.75,54.5,65.75,60.25,55.5,72.3,64.75
27133,75.5,89.9,82.75,72.5,87.4,80.25,70.5,92.3,83.45,65.5,84.75,76.33,75.5,92.3,84.75
27132,35.5,47.75,42.3,42.5,67.3,55.4,45.5,62.75,54.3,42.5,57.3,49.75,35.5,52.75,44.2
27089,85.0,95.0,90.5,83.0,88.0,85.5,68.0,78.0,73.5,68.5,76.5,72.5,87.5,95.75,92.3
27088,0.5,2.5,1.25,3.5,8.75,6.25,1.0,3.5,2.25,2.5,7.5,4.25,2.5,7.5,4.75
27087,70.0,85.0,77.5,65.5,82.3,73.9,65.0,85.0,75.5,65.0,85.0,75.5,65.5,84.3,76.4
27086,65.5,75.8,70.25,75.5,92.3,86.4,72.5,85.4,79.2,65.5,84.3,76.4,65.5,84.3,76.4
27085,65.5,82.3,74.8,62.5,77.3,69.85,75.5,89.9,82.3,65.5,82.3,74.2,55.5,74.3,65.75
27039,3.5,12.75,7.25,3.5,7.5,5.25,5.5,22.7,12.3,7.5,22.3,14.75,3.5,12.75,7.25
27022,87.5,95.75,92.4,87.5,94.3,91.4,85.5,94.75,90.25,87.5,95.75,92.4,85.5,94.75,90.25
27021,15.5,32.75,23.4,10.0,35.5,22.75,10.0,30.0,15.5,35.5,45.75,42.3,10.0,25.0,15.5
27020,12.5,27.5,18.75,5.0,15.0,8.5,12.5,37.5,25.3,15.5,27.3,21.75,12.5,27.5,18.75
27019,5.0,15.0,8.5,35.5,62.75,48.9,35.5,62.75,48.9,35.5,62.4,48.75,35.5,62.75,48.9
27018,35.5,62.75,48.9,12.5,37.5,25.3,35.5,62.75,49.25,35.5,62.75,48.9,35.5,47.25,41.75
27017,2.5,7.5,4.75,1.0,5.0,2.5,1.0,5.0,2.5,1.0,5.0,2.5,1.0,5.0,2.5
26986,15.25,24.75,19.5,25.5,47.75,36.25,25.5,42.75,35.4,35.5,62.75,48.9,12.5,35.75,22.45
26985,55.0,75.0,65.45,55.25,72.4,64.5,35.5,62.75,48.9,42.5,57.75,50.25,45.5,64.3,55.75
26984,35.5,62.75,48.9,35.5,62.75,48.25,65.0,85.0,75.5,35.5,62.75,48.9,35.5,65.75,48.25
26983,68.5,82.35,75.45,65.5,82.3,73.4,35.5,62.75,48.25,38.5,55.75,47.25,65.0,85.0,75.5
26982,65.5,84.3,75.4,65.5,85.4,76.2,65.5,82.3,73.75,65.0,85.0,75.5,55.5,75.3,67.4
26981,85.5,94.7,91.2,85.5,94.3,91.2,75.5,92.3,86.4,70.0,90.0,82.0,85.5,94.75,91.25
26980,82.5,94.75,88.9,75.5,92.25,86.4,81.25,93.5,87.4,75.5,92.3,84.2,82.5,94.7,89.4
26979,85.5,94.75,91.25,85.5,94.75,91.25,85.5,97.75,92.3,85.5,94.75,91.25,85.5,97.75,92.4
26978,83.0,88.0,86.5,85.5,94.75,91.2,85.5,94.75,91.25,82.5,94.75,89.9,70.5,89.9,81.25
26977,82.5,94.7,89.3,85.5,94.75,90.25,75.5,92.3,84.2,75.5,92.3,84.75,85.5,94.75,91.25
26976,52.5,67.3,59.4,65.5,78.25,72.4,68.5,77.3,72.9,60.5,78.25,69.4,65.5,82.3,74.2
26975,15.5,35.75,24.3,12.5,27.5,19.75,12.5,27.5,18.75,15.0,35.0,22.5,7.5,22.5,15.25
26959,85.5,94.75,90.25,62.5,82.75,72.4,80.5,92.75,86.4,65.5,82.3,73.9,62.5,77.5,70.25
26958,42.5,67.3,55.4,55.5,74.8,67.3,65.3,84.7,76.5,62.5,82.3,72.4,62.5,77.25,69.75
26957,35.0,65.0,47.0,45.5,68.75,57.3,42.5,67.3,55.4,47.5,62.3,55.4,45.5,65.75,55.25
26918,65.0,85.0,76.5,45.5,72.3,58.7,62.5,87.5,75.0,65.5,84.3,76.4,65.0,85.0,75.5
26916,75.5,92.3,86.4,70.0,90.0,82.5,75.5,89.9,82.7,60.0,75.0,67.5,70.0,90.0,82.5
26915,65.5,84.3,76.4,65.0,85.0,75.5,60.0,85.0,72.5,65.5,84.3,76.4,75.0,92.0,83.5
26914,35.5,64.5,49.75,35.5,57.7,46.6,35.0,55.0,45.5,35.5,55.75,45.25,45.0,65.0,55.5
26913,35.5,65.5,49.75,35.5,49.9,42.75,35.5,47.25,41.75,40.5,59.5,49.75,35.5,65.5,49.75
26844,1.5,5.9,3.4,1.5,5.5,3.2,5.0,15.0,8.5,3.5,12.75,7.25,3.5,12.75,7.25
26842,35.5,62.3,48.75,37.5,62.5,49.9,35.5,52.75,44.3,35.5,62.75,48.9,35.5,62.75,48.9
26841,35.5,62.3,48.75,65.5,82.3,74.2,35.5,62.75,48.9,35.5,62.75,48.9,55.5,74.3,67.2
26840,40.5,59.5,49.75,42.5,67.5,55.25,45.5,64.75,55.25,55.0,75.0,65.5,52.1,67.9,59.5
26839,85.5,93.75,89.4,82.5,94.75,89.35,75.5,89.9,82.75,87.5,95.75,92.25,87.5,94.75,91.25
26838,85.5,94.3,91.2,45.5,62.3,54.75,52.0,68.0,60.5,85.5,94.75,90.25,95.5,99.9,97.75
26837,1.0,5.5,2.75,1.0,5.0,2.5,1.0,5.0,2.5,1.0,5.0,2.5,2.5,8.75,5.25
26821,85.5,94.75,90.25,52.0,68.0,59.5,55.5,75.3,68.4,55.0,75.0,65.5,65.5,82.75,74.25
26820,5.5,25.5,12.75,5.0,15.0,9.5,3.5,15.5,8.75,15.5,35.75,24.6,35.5,62.75,48.9
26819,42.5,67.8,55.4,65.5,84.3,76.4,75.5,92.3,83.4,45.5,68.75,57.25,65.0,85.0,75.5
26818,70.5,89.9,82.25,68.5,82.3,75.4,82.5,92.3,87.4,70.0,85.0,77.5,85.5,96.75,92.4
26817,10.0,25.0,15.5,15.5,29.9,22.7,12.5,27.5,18.75,12.5,27.5,18.75,10.0,25.0,17.5
26816,35.5,55.75,45.6,45.5,62.75,54.3,40.5,62.75,51.25,65.5,79.9,72.75,75.5,92.3,84.2
26781,35.5,62.75,48.9,37.5,42.75,40.15,35.5,62.75,48.9,35.5,62.3,48.75,25.5,37.75,30.25
26780,42.5,67.3,55.75,55.5,72.3,64.75,55.5,74.8,67.3,35.5,62.75,48.9,65.5,82.3,74.25
26779,45.0,65.0,55.5,52.0,68.5,61.25,45.5,72.3,61.4,65.0,85.0,75.5,35.5,62.7,48.9
26778,55.0,75.0,65.5,55.0,75.0,65.5,55.0,75.0,65.5,62.5,77.5,70.25,52.0,73.5,62.75
26777,55.0,75.0,65.5,45.0,75.0,62.5,45.0,75.0,62.5,65.0,85.0,75.5,65.0,85.0,75.5
26776,35.0,55.0,45.5,40.5,62.75,51.6,8.5,22.75,15.4,35.5,62.75,48.9,15.5,35.75,25.4
26775,5.0,15.0,9.5,3.5,7.5,5.75,5.0,15.0,8.5,85.0,95.5,91.25,5.0,15.0,8.75
26774,15.5,35.75,24.6,15.5,32.75,24.3,15.5,32.75,23.4,22.5,37.75,30.25,12.5,27.5,19.75
26773,5.5,15.7,9.9,12.5,22.5,17.5,5.5,15.7,9.9,5.5,15.75,10.25,7.5,15.75,12.25
26772,22.5,37.8,30.45,22.5,35.75,28.9,25.5,42.75,34.25,20.5,35.75,27.85,35.5,48.75,42.3
26771,40.5,55.75,48.25,75.5,88.4,82.7,45.5,62.75,54.3,45.5,62.75,54.3,65.5,84.3,76.4
26706,35.5,52.75,44.25,55.5,72.3,65.4,35.5,62.75,48.9,35.5,55.75,45.25,35.5,49.75,42.8
26705,87.5,94.3,91.2,72.5,88.3,81.4,85.5,94.75,91.25,60.0,85.0,72.5,75.5,89.9,82.7
26704,12.5,22.5,17.75,35.5,62.3,48.75,5.5,18.75,12.4,35.5,54.75,44.25,7.5,15.5,11.25
