question_id,gpt0_prob,gpt1_prob,gpt2_prob,gpt3_prob,gpt4_prob
26980,65.32,62.45,67.45,68.75,65.23
26979,67.89,87.65,75.32,45.32,72.35
26978,72.35,78.34,62.75,42.35,75.32
26977,48.75,72.35,65.32,65.35,75.65
26976,35.67,35.67,62.75,42.35,35.75
26975,35.75,35.75,27.45,35.75,35.7
26959,15.25,32.45,23.45,30.25,35.67
26958,35.67,62.75,35.75,65,35.67
26957,35.75,35.67,35.67,65.32,42.75
26918,43.75,42.75,75.3,35.2,35.75
26916,65.32,45.23,67.45,65.3,67.45
26915,65.75,62.35,62.35,52.35,62.35
26914,38.25,42.35,42.75,65.32,47.25
26913,42.35,62.75,65.32,42.75,65.75
26844,25,65.3,37.85,35.75,35.73
26842,35.67,35.67,35.75,30.25,35.62
26841,45.67,35.67,35.75,42.75,75.5
26840,65.32,42.87,35.67,45.67,75.25
26839,45.67,72.85,35.75,72.35,35.75
26838,65.34,68.75,72.84,72.85,75.32
26837,23.45,22.35,12.34,12.34,25.87
26821,35.42,75.25,42.35,35.75,35.75
26820,12.34,12.34,12.35,23.45,32.45
26819,12.45,25.75,22.45,35.42,12.45
26818,35.75,45.67,42.75,37.45,72.35
26817,35.42,32.45,15,15.75,35.75
26816,29.75,35.75,15.75,35.67,32.45
26781,37.25,72.45,35.75,35.4,42.75
26780,85.67,37.85,35.67,45.67,35.75
26779,35.67,35.67,45.67,35.67,25
26778,30,35.75,35.67,52.35,35
26777,35.75,63.75,45.67,35.75,45.27
26776,32.67,55.67,65,42.75,57.85
26775,12.45,12.47,55.32,85.75,57.89
26774,35.45,55.75,35.67,35.75,45.67
26773,45.67,45.67,35.45,45.12,48.75
26772,42.75,35.75,45.67,55.67,65.34
26771,75.32,75.32,78.34,75.32,75.32
26706,35.75,42.75,42.75,42.75,42.35
26705,35.75,35.75,65.3,45.25,32.45
26704,70.25,65.34,75.32,45.67,45.67
26703,22.35,12.34,22.34,12.35,12.45
26702,35.67,25.75,32.45,45.67,35.65
26701,78.43,65.32,85.34,78.45,75.35
26700,65.8,85.67,85.72,78.45,75.32
26683,65,43.75,35.75,32.75,52.34
26671,45.25,65.75,72.35,65.75,42.35
26670,43.25,35.25,42.75,35.67,35.72
26669,28.75,38.75,32.45,37.25,35.75
26668,75.32,25.34,82.75,35.45,65.75
26667,18.75,45.67,23.45,15.32,14.32
26666,25.67,12.34,15.23,12.75,12.34
26665,42.35,72.35,45.25,47.35,35.67
26646,37.45,38.75,32.45,35.45,35.75
26645,65.75,65.75,65.37,62.75,65.75
26644,45.23,45.67,45.32,35.72,45.32
26643,75.32,75.34,47.85,75.32,70.45
26642,75.34,45.67,42.75,45.67,45.32
26641,92.5,85.35,85.75,62.5,75.25
26640,35.72,23.45,30.75,23.45,22.35
26639,35.75,20.75,28.75,35.75,22.35
26638,65.75,35.75,35.25,35.25,35.2
26577,12.34,12.5,15.25,0.25,25.35
26576,35.75,35.75,35.67,23.45,35.75
26575,35.75,43.27,45.32,48.75,75.84
26573,12.75,23.75,55.67,12.34,55.34
26572,38.75,45.67,65.34,65.75,65.3
26571,42.35,35.72,45.32,42.75,42.75
26570,48.75,42.75,42.75,62.35,65.32
26569,75.32,47.89,67.89,45.67,42.35
26568,35.75,42.75,65,45.35,65.25
26555,75.32,65.75,72.35,68.75,65.32
26554,62.75,35.67,35.67,65.23,35.67
26553,35.67,35.75,35.75,35.75,35
26552,65.75,38.75,35.67,23.47,35.75
26551,42.85,42.35,35.75,42.35,45.67
26408,76.35,68.75,68.75,35.75,42.75
26407,35.75,35.67,35.75,35.45,35.75
26406,67.85,42.75,35.75,42.75,42.35
26405,75.32,78.45,75,78.35,78.45
26404,42.75,35.75,42.75,42.35,42.75
26392,35.42,35.67,65.34,65.75,35.2
26391,42.75,38.75,35.75,35.67,35.67
26390,62.75,42.35,42.35,35.75,35.72
26389,65.75,72.85,34.67,45.75,65.75
26388,35.75,62.35,65.23,35.25,35.47
26387,72.34,65.32,63.75,75.32,65.32
26307,4.1,4.1,4.1,4.1,4.1
26306,47.35,42.35,42.35,72.45,42.75
26305,62.75,68.75,42.35,68.75,62.75
26304,65.87,35.75,35.75,35.25,35.75
26303,12.5,42.3,35.7,23.75,15.7
26302,12.34,15.32,35.67,12.34,12.34
26236,52.35,62.75,55.75,65.75,65.75
26235,42.75,45.67,35.67,47.85,42.75
26234,42.75,75.32,65.2,38.75,42.75
26233,75.35,42.75,45.32,68.75,75.32
26232,28.45,22.75,75.32,30.25,65.3
26216,35.45,42.75,35.67,42.35,38.75
26215,12.34,12.34,12.34,12.35,3.45
26214,67.85,35.67,65.32,35.67,42.75
26213,32.45,78.45,72.35,67.85,75.32
26212,35.75,25.34,35.75,42.35,35.67
26211,45.32,75.32,45.67,65.75,72.34
26196,42.75,35.67,35.42,42.35,68.75
26195,42.75,45.67,35.2,45.67,35.76
26194,35,42.35,72.35,35.75,35.75
26193,67.45,75.3,85.75,47.35,85.75
26192,35.65,35.75,42.75,35.75,38.75
26191,42.75,35.75,42.35,38.75,32.45
26189,65.3,65.75,42.75,72.35,42.75
26159,42.75,23.45,45.67,25.67,42.75
26158,35.67,45.67,42.75,35.67,45.23
26157,35.45,42.35,35.67,65.78,47.82
26140,12.34,35.67,15.32,35.75,12.75
26139,78.45,76.5,78.5,75.32,92.75
26138,43.75,45.23,45.23,42.75,45.32
26134,72.45,42.75,32.45,85.72,67.89
26133,73.45,62.75,72.35,65.34,65.8
26102,45.32,87.65,65.75,85.75,85.75
26101,45.67,35.67,35.25,35.67,35.67
26100,15.75,35.75,25.67,32.75,15.2
26099,12.45,12.34,12.45,12.34,12.35
26098,32.45,42.35,42.37,35.25,38.65
26097,45.23,65.32,43.75,30.45,42.37
26096,43.75,35.67,42.35,32.45,42.75
26095,65.8,42.35,45.67,78.25,75
26024,35.75,43.75,15.67,20.45,37.45
26023,23.45,45.32,42.35,35.72,65.32
26022,12.75,35.2,35.7,20.5,25.3
26021,32.45,32.45,42.75,22.35,65.23
26020,45.67,45.67,78.45,65.34,68.75
26019,62.45,72.85,42.75,32.47,68.75
26018,85.75,35.67,72.45,38.75,35.25
26017,43.75,42.35,45.75,65.34,35.76
26006,35.67,68.75,85.65,78.45,78.45
26005,3.5,28.73,75.25,45.67,65.32
26004,15.7,72.35,35.67,65.23,23.45
25960,35.78,23.45,12.34,15.75,35.67
25959,35.65,12.75,15.75,15.25,25.67
25958,62.85,78.45,75.32,65.45,75.32
25957,65.45,65.75,65.23,45.75,35.75
25956,35.72,35.42,15.75,35.2,12.35
25955,38.75,42.35,35.45,65.32,65.43
25954,35.75,55.75,35.75,37.25,22.34
25953,42.75,42.35,42.75,42.75,65.3
25952,45.67,42.75,42.75,42.35,42.75
25936,65.32,45.75,45.67,75.32,62.75
25935,75,35.67,35.2,35.67,35.67
25934,12.34,15.32,12.75,15.75,15.25
25933,45.23,45.23,35.67,35.75,65.75
25875,15.25,24.78,23.45,42.75,23.45
25874,47.35,25.34,48.75,48.75,65.75
25873,72.34,35.67,82.75,42.75,35.67
25872,63.45,65.75,65.34,62.75,75.25
25871,42.35,35.67,47.32,35.75,45.32
