question_id,gpt0_final,gpt0_conf,gpt1_final,gpt1_conf,gpt2_final,gpt2_conf,gpt3_final,gpt3_conf,gpt4_final,gpt4_conf
28205,45.0,80.0,40.0,60.0,40.0,75.0,70.0,80.0,70.0,80.0
28204,75.0,95.0,80.0,80.0,75.0,85.0,95.0,90.0,20.0,80.0
28156,60.0,25.0,20.0,80.0,10.0,90.0,40.0,60.0,15.0,85.0
28155,65.0,65.0,60.0,60.0,75.0,20.0,35.0,65.0,57.5,80.0
28154,0.1,95.0,0.1,0.1,0.1,99.0,0.1,99.9,0.1,90.0
28070,80.0,75.0,75.0,85.0,80.0,59.75,70.0,85.0,70.0,85.0
28069,80.0,85.0,70.0,75.0,85.0,85.0,75.0,80.0,70.0,85.0
28046,70.0,80.0,75.0,80.0,40.0,70.0,75.0,80.0,85.0,70.0
28045,90.0,95.0,82.0,85.0,85.0,90.0,65.0,85.0,85.0,85.0
28044,15.0,90.0,10.0,80.0,18.0,85.0,24.5,30.0,20.0,85.0
28043,5.0,90.0,10.0,90.0,5.0,75.0,5.0,95.0,10.0,90.0
28042,8.0,92.0,5.0,95.0,10.0,90.0,10.0,80.0,10.0,90.0
28041,30.0,70.0,35.0,65.0,15.0,80.0,32.0,78.0,20.0,75.0
28040,15.0,15.0,10.0,95.0,5.0,90.0,10.0,60.0,15.0,85.0
28039,15.75,70.0,20.0,70.0,25.0,60.0,25.0,60.0,20.0,60.0
28038,33.33,33.33,25.0,60.0,20.0,85.0,28.0,65.0,30.0,70.0
28037,40.0,80.0,55.0,70.0,70.0,80.0,70.0,85.0,62.5,75.0
28024,85.0,90.0,80.0,90.0,80.0,90.0,75.0,80.0,85.0,90.0
28022,79.9,85.0,85.0,90.0,85.0,78.0,85.0,85.0,85.0,90.0
28021,68.75,75.0,63.0,75.0,55.0,75.0,56.5,85.0,54.75,60.0
28020,65.0,80.0,25.0,80.0,35.0,80.0,65.75,80.0,30.0,70.0
28008,30.0,80.0,25.0,75.0,45.0,90.0,20.0,80.0,55.0,60.0
28007,35.0,85.0,30.0,70.0,85.0,90.0,75.0,85.0,30.0,70.0
28006,65.0,75.0,60.0,85.0,75.0,85.0,68.0,85.0,85.0,75.0
27969,25.0,75.0,42.75,75.0,70.0,35.0,35.0,65.0,35.6,70.0
27968,70.0,85.0,75.0,85.0,85.0,85.0,75.0,85.0,75.0,80.0
27967,85.0,90.0,25.0,75.0,85.0,90.0,37.5,80.0,85.0,85.0
27966,85.0,80.0,75.0,80.0,78.0,75.0,85.0,85.0,85.0,90.0
27935,27.0,70.0,45.0,70.0,55.0,70.0,60.0,75.0,55.0,70.0
27934,70.0,85.0,65.0,75.0,75.0,80.0,60.0,60.0,55.0,80.0
27933,30.0,30.0,20.0,80.0,35.0,60.0,12.0,65.0,40.0,60.0
27932,15.0,85.0,10.0,85.0,10.0,90.0,30.0,70.0,10.0,90.0
27920,35.0,70.0,31.5,60.0,20.0,65.0,40.0,50.0,25.0,75.0
27919,75.0,85.0,65.0,80.0,85.5,80.0,85.0,90.0,75.0,80.0
27918,99.0,95.0,94.5,95.0,95.0,85.0,98.75,90.0,95.0,95.0
27914,75.0,85.0,75.0,85.0,70.0,70.0,85.0,90.0,80.0,80.0
27913,70.0,85.0,70.0,80.0,70.0,80.0,75.0,80.0,70.0,90.0
27912,85.0,85.0,95.0,95.0,85.0,75.0,90.0,85.0,70.0,85.0
27911,65.0,75.0,85.0,90.0,65.0,60.0,58.0,65.0,75.0,80.0
27897,27.5,78.0,15.0,90.0,12.0,89.9,15.0,85.0,20.0,80.0
27895,5.0,90.0,5.0,90.0,15.0,85.0,10.0,90.0,5.0,90.0
27887,26.5,70.0,23.5,76.5,25.0,70.0,35.0,60.0,35.0,75.0
27886,85.0,80.0,81.5,85.0,85.0,90.0,80.0,85.0,85.0,90.0
27885,30.0,70.0,50.0,80.0,39.5,60.5,30.0,70.0,35.0,70.0
27877,82.5,85.0,85.0,85.0,70.0,75.0,80.0,80.0,85.0,90.0
27876,25.0,75.0,35.0,70.0,75.0,80.0,65.0,80.0,45.0,75.0
27804,10.25,85.0,10.0,80.0,9.0,95.0,5.0,95.0,10.0,90.0
27791,15.0,85.0,80.0,90.0,20.0,75.0,10.0,90.0,15.0,80.0
27790,15.0,85.0,15.0,85.0,10.0,90.0,15.0,85.0,10.0,10.0
27789,30.0,70.0,35.0,85.0,20.0,75.0,30.0,85.0,27.5,79.0
27788,65.0,80.0,65.0,70.0,65.0,70.0,60.0,75.0,62.5,85.0
27749,40.0,80.0,45.0,75.0,35.0,70.0,42.5,80.0,30.3,70.0
27748,25.0,84.0,15.0,85.0,15.0,75.0,20.0,80.0,15.0,80.0
27747,40.0,85.0,60.0,75.0,55.0,80.0,60.0,70.0,65.0,75.0
27746,70.0,80.0,70.0,85.0,85.0,70.0,82.5,90.0,70.0,75.0
27745,35.0,70.0,58.75,60.0,75.0,80.0,75.0,85.0,65.0,75.0
27733,90.0,90.0,95.0,95.0,85.0,90.0,92.0,95.0,95.0,95.0
27732,35.0,65.0,45.0,70.0,28.5,80.0,35.0,80.0,22.0,78.0
27723,25.0,70.0,29.5,75.0,20.0,80.0,25.0,80.0,35.0,80.0
27722,15.0,84.0,15.0,85.0,15.0,85.0,30.0,85.0,15.0,85.0
27721,20.0,65.0,35.0,65.0,25.0,70.0,25.0,75.0,15.0,85.0
27720,85.0,80.0,85.0,80.0,93.0,85.0,85.0,85.0,75.0,90.0
27640,45.0,80.0,35.0,70.0,55.0,70.0,55.0,70.0,65.0,80.0
27639,85.0,90.0,87.5,90.0,85.0,90.0,85.0,90.0,90.0,80.0
27638,20.0,80.0,12.0,87.0,20.0,80.0,25.0,75.0,20.0,80.0
27637,25.0,75.0,25.0,75.0,20.0,75.0,25.0,70.0,20.0,75.0
27610,10.0,85.0,15.0,85.0,10.0,90.0,15.0,75.0,15.0,85.0
27609,65.0,75.0,44.5,78.0,75.0,80.0,40.0,70.0,40.0,70.0
27608,83.25,80.0,65.0,75.0,75.0,85.0,84.0,90.0,70.0,80.0
27607,65.0,75.0,65.0,75.0,40.0,70.0,57.5,60.0,68.5,85.0
27606,55.0,60.0,45.0,60.0,70.0,80.0,65.0,60.0,75.0,80.0
27605,5.0,95.0,1.5,98.5,5.0,95.0,5.0,85.0,5.0,95.0
27604,12.0,87.0,10.0,90.0,10.0,10.0,20.0,75.0,15.0,85.0
27603,5.0,80.0,15.0,85.0,12.5,80.0,35.0,80.0,10.5,85.0
27602,35.0,70.0,25.0,70.0,25.0,75.0,15.0,85.0,25.0,80.0
27584,60.0,75.0,65.0,75.0,35.0,70.0,35.0,35.0,65.0,80.0
27583,37.5,82.5,47.5,80.0,45.0,65.0,35.5,70.0,33.0,65.0
27582,21.5,78.5,30.0,75.0,15.0,80.0,35.0,60.0,35.0,70.0
27581,65.0,75.0,45.0,70.0,35.0,70.0,60.0,80.0,70.0,70.0
27576,10.0,80.0,15.0,80.0,15.0,80.0,15.0,80.0,10.0,90.0
27548,5.0,90.0,5.0,95.0,10.0,80.0,5.0,90.0,10.0,85.0
27547,5.0,85.0,10.0,90.0,5.0,85.0,5.0,95.0,10.0,85.0
27546,5.0,85.0,4.0,95.0,15.0,85.0,10.5,90.0,18.0,81.0
27545,5.0,95.0,10.0,89.0,20.0,75.0,10.0,90.0,20.0,80.0
27539,5.0,94.0,1.75,98.25,2.0,95.0,2.0,95.0,1.25,98.75
27538,3.0,95.0,4.5,85.0,2.5,2.5,1.0,99.0,3.5,95.0
27524,30.0,75.0,65.0,28.75,30.0,70.0,30.0,80.0,25.0,70.0
27523,30.0,70.0,35.0,70.0,65.0,80.0,60.0,75.0,60.0,85.0
27522,10.0,90.0,15.0,80.0,15.0,85.0,15.0,85.0,15.0,85.0
27521,65.0,80.0,80.0,75.0,55.55,55.55,85.0,75.0,75.0,85.0
27515,85.0,92.0,90.0,85.0,75.0,90.0,82.5,85.0,80.0,85.0
27493,3.25,96.75,5.0,95.0,2.5,90.0,2.0,95.0,5.0,90.0
27492,5.0,75.0,5.0,95.0,10.0,90.0,6.0,93.0,0.4,65.65
27491,15.0,85.0,20.0,80.0,10.0,90.0,30.0,65.0,20.0,70.0
27490,0.2,85.0,80.0,85.0,70.0,85.0,80.0,80.0,60.0,80.0
27489,40.0,70.0,15.0,85.0,35.0,50.0,35.0,65.0,15.0,70.0
27488,85.0,15.0,5.0,95.0,15.0,85.0,10.0,95.0,20.0,80.0
27487,15.0,95.0,27.5,90.0,22.5,75.0,14.5,85.5,25.0,80.0
27486,30.0,90.0,32.0,85.0,32.5,90.0,32.5,80.0,30.0,85.0
27485,75.0,85.0,77.5,85.0,68.5,90.0,80.0,90.0,84.0,95.0
27484,70.0,85.0,25.0,50.0,50.0,75.0,25.0,74.0,30.0,69.9
27447,57.5,90.0,35.0,64.0,35.0,70.0,55.0,60.0,54.0,60.0
27283,35.0,70.0,55.0,70.0,30.0,30.0,45.0,70.0,65.0,85.0
27282,5.0,90.0,5.0,94.0,5.0,80.0,5.0,50.0,4.0,80.0
27281,65.0,70.0,60.0,85.0,52.5,75.0,61.5,75.0,75.0,75.0
27279,75.0,85.0,70.0,65.0,68.0,80.0,65.0,60.0,60.0,80.0
27278,75.0,80.0,75.0,85.0,78.0,85.0,75.0,80.0,82.5,90.0
27277,60.0,75.0,35.0,60.0,70.0,85.0,90.0,95.0,85.0,75.0
27263,58.0,85.0,36.25,75.0,45.0,65.0,40.0,75.0,40.0,70.0
27262,10.0,85.0,12.5,87.5,15.0,84.0,35.0,70.0,20.0,80.0
27261,65.0,80.0,40.0,60.0,70.0,85.0,55.0,75.0,47.5,75.0
27260,75.0,85.0,75.0,80.0,70.0,90.0,75.0,90.0,75.0,90.0
27259,26.5,70.0,60.0,75.0,45.0,55.0,22.5,77.5,30.0,70.0
27258,75.0,85.0,85.0,85.0,72.5,85.0,75.0,85.0,75.0,85.0
27248,10.0,90.0,5.0,90.0,20.0,80.0,15.0,80.0,15.0,80.0
27241,99.9,99.9,98.75,95.0,95.0,99.0,95.0,95.0,99.9,99.9
27240,93.5,95.0,85.0,90.0,85.0,90.0,89.0,80.0,90.0,95.0
27239,85.0,90.0,80.0,85.0,85.0,70.0,90.0,95.0,73.0,85.0
27238,25.0,80.0,20.0,80.0,30.0,85.0,25.0,75.0,30.0,85.0
27223,42.75,70.0,35.0,60.0,25.0,70.0,20.0,75.0,15.0,85.0
27222,60.0,70.0,65.0,80.0,40.0,70.0,45.0,70.0,60.0,70.0
27221,30.0,70.0,15.0,85.0,20.0,65.0,25.0,85.0,15.0,85.0
27220,45.0,50.0,38.75,68.0,70.0,60.0,65.0,80.0,25.0,60.0
27219,70.0,75.0,75.0,75.0,62.0,74.0,65.0,80.0,80.0,75.0
27200,35.0,75.0,27.5,75.5,5.25,85.0,15.0,70.0,7.0,85.0
27161,81.25,85.0,70.0,80.0,85.0,90.0,70.0,75.0,75.0,80.0
27160,30.0,70.0,20.0,80.0,40.0,60.0,45.0,80.0,35.0,75.0
27159,18.0,80.0,20.0,70.0,5.0,99.9,10.0,80.0,15.0,90.0
27158,30.0,75.0,35.0,70.0,35.0,75.0,25.0,75.0,23.5,65.0
27157,25.0,85.0,35.0,70.0,40.0,70.0,27.5,27.5,43.3,80.0
27141,55.0,75.0,55.0,70.0,70.0,80.0,70.0,85.0,65.0,75.0
27140,75.0,85.0,65.0,75.0,75.0,85.0,70.0,70.0,72.0,85.0
27138,74.75,85.0,80.0,75.0,75.0,90.0,63.75,75.0,75.0,85.0
27137,10.0,90.0,5.0,90.0,10.0,90.0,5.0,95.0,5.0,90.0
27136,15.25,84.75,25.0,85.0,20.75,79.25,30.0,75.0,25.0,70.0
27135,65.0,85.0,70.0,80.0,72.0,85.0,65.0,70.0,64.0,80.0
27134,57.0,65.0,65.0,85.0,65.0,75.0,72.5,25.0,65.0,75.0
27133,74.25,80.0,90.0,85.0,70.0,75.0,60.0,75.0,75.0,80.0
27132,25.0,75.0,35.0,70.0,35.0,60.0,25.0,85.0,35.0,75.0
27089,85.0,87.5,85.0,80.0,85.0,95.0,85.0,85.0,88.5,91.0
27088,2.5,97.5,5.0,95.0,5.0,95.0,5.0,90.0,5.0,95.0
27087,80.0,85.0,85.0,85.0,75.0,85.0,65.0,70.0,65.0,72.0
27086,68.0,80.0,75.0,80.0,75.0,85.0,76.5,80.0,68.5,80.0
27085,20.0,70.0,35.0,60.0,25.0,85.0,25.0,75.0,55.0,60.0
27039,10.0,90.0,10.0,90.0,15.0,75.0,10.0,80.0,5.0,90.0
27022,85.0,80.0,90.0,85.0,75.0,85.0,80.0,80.0,70.0,80.0
27021,36.0,85.0,40.0,75.0,55.0,80.0,25.0,74.0,60.0,85.0
27020,30.0,80.0,25.0,80.0,45.0,70.0,30.0,60.0,25.0,75.0
27019,40.0,40.0,40.0,80.0,73.0,77.0,25.0,85.0,45.0,80.0
27018,5.0,90.0,5.0,85.0,15.0,85.0,10.0,70.0,15.0,65.0
27017,0.5,95.0,5.0,85.0,1.5,98.5,1.0,98.0,1.0,99.0
26986,20.0,85.0,5.0,90.0,20.0,65.0,25.0,75.0,15.0,85.0
26985,25.0,80.0,27.5,85.0,30.0,80.0,25.0,75.0,15.0,80.0
26984,30.0,70.0,35.0,65.0,64.0,80.0,43.0,60.0,47.5,75.0
26983,50.0,80.0,35.5,80.0,35.0,80.0,37.5,80.0,40.0,40.0
26982,70.0,85.0,75.0,80.0,65.0,80.0,82.0,75.0,75.0,85.0
26981,80.0,90.0,80.0,90.0,85.0,85.0,85.0,90.0,87.5,85.0
26980,85.0,90.0,85.0,90.0,85.0,90.0,85.0,75.0,90.0,80.0
26979,85.0,90.0,88.0,95.0,92.5,90.0,85.0,85.0,95.0,95.0
26978,85.0,75.0,85.0,90.0,85.0,90.0,90.0,95.0,90.0,90.0
26977,88.0,95.0,95.0,98.0,89.9,85.0,95.0,90.0,90.0,95.0
26976,65.0,75.0,64.5,70.0,75.0,80.0,65.0,80.0,60.0,80.0
26975,22.75,79.32,25.0,75.0,29.25,85.0,12.5,85.0,20.0,80.0
26959,80.0,80.0,80.0,85.0,75.0,80.0,75.0,85.0,85.0,85.0
26958,40.0,75.0,25.0,75.0,52.5,75.0,55.0,80.0,70.0,75.0
26957,35.0,60.0,25.0,75.0,25.0,80.0,30.0,70.0,25.0,75.0
26918,65.0,70.0,70.0,85.0,85.0,90.0,35.0,60.0,65.0,85.0
26916,79.0,75.0,85.0,85.0,90.0,85.0,75.0,85.0,85.0,85.0
26915,85.0,80.0,85.0,90.0,75.0,70.0,85.0,90.0,80.0,90.0
26914,30.0,70.0,45.0,85.0,40.0,55.0,45.0,70.0,30.0,30.0
26913,25.0,74.5,25.0,75.0,29.0,85.0,66.0,66.0,30.0,70.0
26844,15.0,90.0,80.0,15.0,20.0,80.0,10.0,90.0,15.0,85.0
26842,45.0,45.0,35.0,64.0,55.0,70.0,40.0,80.0,65.0,75.0
26841,25.0,85.0,35.0,64.0,35.0,85.0,20.0,80.0,30.0,70.0
26840,67.25,70.0,58.25,75.0,62.5,70.0,66.0,85.0,60.0,75.0
26839,85.0,90.0,85.0,85.0,70.0,80.0,85.0,90.0,80.0,75.0
26838,65.0,80.0,40.0,75.0,73.5,80.0,67.0,80.0,20.0,80.0
26837,5.0,95.0,1.0,98.0,5.0,90.0,3.5,95.0,0.5,99.0
26821,55.0,55.0,65.0,70.0,65.0,80.0,45.0,80.0,75.0,85.0
26820,5.0,90.0,5.0,80.0,5.0,92.0,20.0,80.0,10.0,75.0
26819,12.5,80.0,45.0,80.0,65.0,75.0,45.0,70.0,15.0,80.0
26818,45.0,60.0,70.0,85.0,70.0,85.0,40.0,60.0,60.0,70.0
26817,15.0,75.0,15.0,85.0,15.0,85.0,15.0,85.0,15.0,90.0
26816,52.5,75.0,65.0,80.0,45.0,80.0,65.0,85.0,48.0,90.0
26781,15.0,80.0,20.0,80.0,25.0,80.0,30.0,50.0,30.0,70.0
26780,60.0,85.0,45.0,70.0,45.0,55.0,23.0,25.0,31.25,85.0
26779,65.0,85.0,30.0,75.0,70.0,80.0,35.0,70.0,40.0,70.0
26778,65.0,75.0,33.0,75.0,60.0,75.0,35.5,70.0,70.0,85.0
26777,78.5,85.0,30.0,75.0,65.0,75.0,60.0,60.0,65.0,75.0
26776,20.0,60.0,15.0,70.0,25.0,90.0,20.0,65.0,14.0,85.0
26775,20.0,85.0,20.0,80.0,20.0,80.0,20.0,80.0,13.5,86.5
26774,10.0,90.0,20.0,75.0,15.0,80.0,15.0,75.0,15.0,70.0
26773,12.5,80.0,20.0,70.0,20.0,80.0,20.0,80.0,7.0,90.0
26772,45.0,70.0,35.0,75.0,22.0,75.0,20.0,80.0,30.0,75.0
26771,65.0,80.0,75.0,80.0,70.0,80.0,70.0,75.0,62.5,70.0
26706,25.0,75.0,95.0,20.0,25.0,75.0,28.5,76.0,25.0,95.0
26705,20.0,75.0,45.0,80.0,60.0,77.0,30.0,70.0,25.0,75.0
26704,25.0,70.0,15.0,80.0,20.0,80.0,11.0,80.0,35.0,70.0
26703,15.0,85.0,15.0,85.0,15.0,80.0,15.0,85.0,12.5,85.0
26702,25.0,75.0,10.0,90.0,24.0,75.0,20.0,79.0,32.0,32.0
26701,85.0,85.0,85.0,85.0,80.0,90.0,70.0,75.0,80.0,85.0
26700,95.0,95.0,95.0,95.0,95.0,95.0,97.5,98.5,95.0,85.0
26683,12.0,75.0,18.0,85.0,40.0,75.0,40.0,60.0,10.0,90.0
26671,40.0,70.0,40.0,70.0,35.0,70.0,60.0,75.0,30.0,70.0
26670,70.0,30.0,30.0,65.0,35.0,70.0,10.0,85.0,45.0,75.0
26669,5.0,90.0,5.0,94.0,5.0,90.0,10.0,85.0,5.0,85.0
26668,93.0,85.0,95.0,90.0,95.0,96.0,99.0,95.0,95.0,90.0
26667,5.0,95.0,10.0,90.0,2.0,95.0,5.0,95.0,2.5,95.0
26666,3.0,90.0,8.5,91.5,4.0,96.0,15.0,70.0,10.0,90.0
26665,10.0,85.0,15.0,85.0,5.0,85.0,10.0,90.0,15.0,80.0
26646,20.0,79.9,12.5,87.5,25.0,75.0,20.0,90.0,12.0,87.0
26645,25.0,75.0,20.0,80.0,20.0,80.0,20.0,70.0,30.0,70.0
26644,35.0,75.0,65.0,75.0,45.0,70.0,52.0,70.0,30.0,90.0
26643,75.0,75.0,80.0,85.0,75.0,80.0,35.0,85.0,75.0,85.0
26642,65.0,70.0,75.0,80.0,45.0,70.0,90.0,85.0,85.0,75.0
26641,85.0,85.0,70.0,85.0,65.0,85.0,66.0,75.0,76.5,85.0
26640,40.0,80.0,70.0,80.0,70.0,80.0,20.0,85.0,95.0,15.0
26639,10.0,85.0,35.0,90.0,45.0,70.0,20.0,75.0,20.0,75.0
26638,28.0,65.0,25.0,65.0,45.0,70.0,31.75,75.0,20.0,80.0
26577,10.0,90.0,10.0,90.0,5.0,80.0,5.0,95.0,1.5,98.5
26576,65.0,80.0,70.0,80.0,30.0,80.0,65.0,70.0,45.0,75.0
26575,80.0,71.25,85.0,94.0,68.0,75.0,75.0,80.0,80.0,75.0
26573,12.5,85.0,20.0,80.0,15.0,84.0,15.0,85.0,15.0,85.0
26572,37.5,65.0,35.0,65.0,60.0,85.0,40.0,60.0,50.0,60.0
26571,10.0,60.0,15.0,75.0,12.0,70.0,15.0,55.0,20.0,70.0
26570,15.0,85.0,20.0,70.0,10.0,60.0,15.0,80.0,10.0,60.0
26569,85.0,80.0,75.0,85.0,78.0,82.0,65.0,85.0,75.0,90.0
26568,65.0,70.0,75.0,80.0,65.0,70.0,65.0,70.0,64.0,75.0
26555,85.0,90.0,75.0,70.0,75.0,85.0,85.0,90.0,87.5,90.0
26554,15.0,85.0,25.0,70.0,30.0,75.0,10.0,75.0,20.0,80.0
26553,20.0,80.0,15.0,85.0,9.5,90.0,5.0,80.0,15.0,85.0
26552,10.0,90.0,8.0,70.0,15.0,90.0,10.0,90.0,10.0,70.0
26551,45.0,70.0,41.5,80.0,45.0,60.0,35.0,70.0,35.0,80.0
26408,20.0,80.0,45.0,75.0,46.0,80.0,60.0,75.0,60.0,60.0
26407,25.0,85.0,20.0,70.0,30.0,70.0,25.0,80.0,35.55,70.7
26406,30.0,70.0,25.0,89.0,30.0,85.0,25.0,85.0,40.0,95.0
26405,78.3,95.0,85.0,80.0,70.0,80.0,88.0,85.0,78.5,85.0
26404,64.0,85.0,70.0,75.0,65.0,75.0,65.0,75.0,70.0,80.0
26392,15.0,80.0,20.0,75.0,20.0,80.0,15.0,85.0,15.0,70.0
26391,47.5,80.0,45.5,65.0,66.5,89.25,65.0,65.0,25.0,70.0
26390,35.0,70.0,32.5,75.0,25.0,75.0,25.0,80.0,20.0,80.0
26389,85.0,80.0,85.0,90.0,75.0,70.0,79.5,88.0,85.0,90.0
26388,35.0,70.0,20.0,70.0,45.0,80.0,32.5,75.0,20.0,80.0
26387,60.0,75.0,65.0,70.0,47.5,80.0,56.0,66.0,57.5,70.0
26307,62.5,75.0,58.0,85.0,60.0,80.0,65.0,65.0,65.0,70.0
26306,87.5,90.0,90.0,85.0,75.0,80.0,65.0,80.0,82.5,90.0
26305,75.0,80.0,72.5,85.0,85.0,90.0,65.0,75.0,70.0,85.0
26304,25.0,75.0,23.75,65.0,90.0,25.0,35.0,60.0,85.0,20.25
26303,37.5,75.0,27.5,80.0,37.5,75.0,45.0,85.0,70.0,25.0
26302,5.0,95.0,8.0,75.0,5.0,94.99,3.5,70.0,4.5,92.0
26236,75.0,85.0,78.5,78.5,78.5,90.0,65.0,70.0,65.0,80.0
26235,70.0,75.0,65.0,65.0,25.0,75.0,60.0,75.0,35.0,70.0
26234,25.0,75.0,20.0,80.0,25.0,75.0,20.0,95.0,25.0,75.0
26233,25.0,74.0,35.0,90.0,30.0,85.0,46.25,70.0,60.0,75.0
26232,15.0,85.0,10.0,90.0,5.0,90.0,15.0,85.0,5.0,94.0
26216,35.0,65.0,65.0,80.0,65.0,80.0,45.0,75.0,65.0,75.0
26215,6.5,80.0,3.5,93.0,5.75,85.0,2.5,85.0,1.75,85.0
26214,75.0,85.0,65.0,80.0,65.0,75.0,65.0,85.0,30.0,70.0
26213,25.0,75.0,30.0,85.0,30.0,70.0,75.0,80.0,75.0,75.0
26212,80.0,80.0,80.0,80.0,72.5,85.0,75.0,70.0,75.0,80.0
26211,75.0,90.0,75.0,80.0,75.0,85.0,80.0,85.0,85.0,80.0
26196,68.0,80.0,60.0,80.0,60.0,75.0,70.0,70.0,70.0,85.0
26195,87.0,75.0,65.0,70.0,65.0,85.0,75.0,90.0,85.0,90.0
26194,85.0,85.0,85.0,90.0,75.0,75.0,85.0,85.0,85.0,90.0
26193,95.0,95.0,90.0,85.0,95.0,95.0,96.0,96.0,85.0,90.0
26192,65.0,70.0,65.0,85.0,60.0,75.0,35.0,70.0,65.0,75.0
26191,5.0,90.0,10.0,89.0,5.0,95.0,5.5,95.0,8.0,92.0
26189,68.0,90.0,80.0,85.0,70.0,75.0,85.0,90.0,70.0,85.0
26159,45.0,70.0,45.0,80.0,25.0,75.0,40.0,65.0,55.0,80.0
26158,35.0,55.0,25.0,65.0,15.0,85.0,20.0,80.0,20.0,80.0
26157,35.5,64.5,20.0,75.0,15.0,85.0,20.0,80.0,25.0,70.0
26140,5.0,95.0,5.0,94.0,5.0,75.0,5.0,95.0,1.5,98.5
26139,70.0,75.0,65.0,80.0,78.0,85.0,55.0,70.0,65.0,70.0
26138,68.0,75.0,75.0,74.0,65.0,90.0,75.0,80.0,75.0,90.0
26134,85.0,90.0,85.0,85.0,85.0,75.0,85.0,80.0,84.0,90.0
26133,73.5,80.0,75.0,75.0,73.0,85.0,75.0,75.0,75.0,80.0
26102,85.0,90.0,75.0,85.0,85.0,80.0,75.0,80.0,80.0,85.0
26101,10.0,90.0,15.0,85.0,12.0,90.0,5.0,90.0,10.0,90.0
26100,30.0,70.0,25.0,85.0,15.0,85.0,35.0,60.0,20.0,80.0
26099,5.0,80.0,5.0,90.0,5.5,80.0,2.0,95.0,5.0,90.0
26098,5.0,95.0,5.0,95.0,1.0,98.0,0.5,99.0,5.0,95.0
26097,28.0,28.0,15.0,90.0,15.0,84.0,5.0,90.0,5.0,95.0
26096,1.0,99.0,0.5,99.5,1.0,98.0,0.1,99.9,3.0,97.0
26095,10.0,90.0,10.0,90.0,10.0,90.0,20.0,75.0,85.0,5.0
26024,85.0,75.0,85.0,90.0,85.0,90.0,85.0,85.0,85.0,90.0
26023,55.0,75.0,35.0,75.0,30.0,80.0,45.0,75.0,40.0,65.0
26022,75.0,70.0,85.0,85.0,67.0,80.0,75.0,80.0,65.0,80.0
26021,15.0,84.0,15.0,90.0,3.0,55.0,3.5,95.0,10.0,85.0
26020,30.0,90.0,20.0,80.0,25.0,85.0,55.5,80.0,15.0,85.0
26019,60.0,75.0,45.0,60.0,47.5,85.0,60.0,75.0,58.0,75.0
26018,35.0,60.0,15.0,85.0,40.0,50.0,30.0,80.0,20.0,75.0
26017,30.0,70.0,60.0,75.0,23.0,75.0,65.0,80.0,45.0,70.0
26006,30.0,75.0,20.0,70.0,32.5,70.0,30.0,65.0,15.0,90.0
26005,10.0,90.0,15.0,80.0,15.0,85.0,5.0,85.0,25.0,25.0
26004,15.0,65.0,15.0,85.0,30.0,80.0,20.0,90.0,24.75,75.25
25960,30.0,70.0,20.0,85.0,35.0,70.0,20.0,80.0,15.0,85.0
25959,18.0,81.0,15.0,85.0,12.0,88.0,10.0,90.0,10.0,90.0
25958,20.0,70.0,35.0,75.0,40.0,70.0,45.0,85.0,33.33,60.0
25957,75.0,90.0,70.0,85.0,70.0,85.0,75.0,85.0,65.0,90.0
25956,15.0,85.0,15.0,85.0,8.5,95.0,15.0,85.0,15.0,85.0
