question_id,geminiflash20_min,geminiflash20_max,geminiflash20_final,geminiflash21_min,geminiflash21_max,geminiflash21_final,geminiflash22_min,geminiflash22_max,geminiflash22_final,geminiflash23_min,geminiflash23_max,geminiflash23_final,geminiflash24_min,geminiflash24_max,geminiflash24_final
30117,15.0,35.0,23.0,28.0,48.0,38.0,15.0,25.0,20.0,17.5,32.5,25.0,15.0,35.0,25.0
30116,32.5,54.5,45.0,15.0,25.0,20.0,25.0,40.0,30.0,20.0,35.0,27.5,38.0,62.0,50.0
30113,50.0,70.0,60.0,15.0,30.0,22.0,20.0,50.0,30.0,30.0,60.0,45.0,28.5,48.5,38.5
30068,65.0,85.0,75.0,55.0,75.0,67.0,40.0,65.0,55.0,80.0,90.0,85.0,40.0,65.0,55.0
30008,65.0,85.0,75.0,55.0,75.0,65.0,42.0,64.0,53.0,55.0,75.0,65.0,45.0,65.0,55.0
30006,75.0,90.0,85.0,60.0,90.0,75.0,80.0,95.0,90.0,75.0,95.0,85.0,65.0,85.0,75.0
30005,12.0,35.0,20.0,12.0,38.0,25.0,5.0,15.0,10.0,12.0,30.0,18.0,15.0,40.0,25.0
30004,33.0,47.0,40.0,20.0,35.0,28.0,10.0,45.0,25.0,55.0,75.0,65.0,20.0,40.0,30.0
29945,58.0,78.0,68.0,45.0,75.0,60.0,45.0,65.0,55.0,70.0,85.0,78.0,70.0,90.0,80.0
29944,30.0,60.0,45.0,25.0,45.0,35.0,40.0,65.0,52.0,30.0,60.0,45.0,30.0,40.0,33.4
29941,87.0,97.0,93.0,70.0,85.0,78.0,85.0,98.0,93.0,89.0,98.0,94.0,75.0,92.0,85.0
29939,15.0,30.0,22.0,5.0,20.0,10.0,15.0,35.0,25.0,8.5,22.5,15.5,10.0,30.0,18.0
29937,1.0,8.0,3.0,10.1,30.0,20.0,78.0,96.0,89.5,1.0,5.0,2.5,65.0,90.0,80.0
29887,85.0,95.0,92.0,88.0,98.0,94.0,75.0,90.0,84.0,15.0,45.0,30.0,75.0,90.0,82.0
29886,40.0,70.0,58.0,10.0,25.0,15.0,30.0,60.0,44.24,18.0,32.0,25.0,30.0,45.0,38.0
29874,40.0,55.0,47.0,15.0,35.0,25.0,38.0,65.0,53.0,15.0,25.0,20.0,40.0,60.0,52.5
29873,60.0,85.0,75.0,40.0,70.0,55.0,40.0,70.0,55.0,15.0,35.0,25.0,2.0,4.0,3.0
29872,15.0,35.0,25.0,20.0,70.0,40.0,15.0,35.0,25.0,20.0,40.0,30.0,10.0,25.0,18.0
29796,15.0,45.0,30.0,35.0,55.0,45.0,15.0,25.0,20.0,25.0,45.0,35.0,10.0,35.0,20.0
29795,30.0,45.0,37.5,20.0,40.0,30.0,25.0,45.0,35.0,25.0,55.0,40.0,25.0,40.0,32.0
29789,30.0,65.0,48.0,25.0,55.0,40.0,10.0,35.0,20.0,20.0,45.0,30.0,50.0,70.0,60.0
29788,35.0,55.0,45.0,30.0,65.0,47.0,5.0,20.0,12.0,14.0,26.0,20.0,15.15,45.15,30.35
29787,30.0,70.0,50.0,15.0,35.0,25.0,22.15,50.15,34.4,20.0,40.0,30.0,15.0,40.0,25.0
29786,25.0,50.0,35.0,25.0,45.0,35.0,28.0,52.0,40.0,20.0,35.0,27.5,35.0,65.0,50.0
29785,45.0,75.0,65.0,10.0,30.0,20.0,10.0,30.0,20.0,30.0,60.0,45.0,35.0,65.0,50.0
29784,50.1,85.1,70.1,45.0,80.0,67.0,35.0,85.0,60.0,45.1,70.1,60.1,65.0,85.0,75.0
29783,20.0,40.0,30.0,10.0,30.0,15.0,18.0,32.0,24.0,20.0,35.0,27.5,15.0,35.0,25.0
29707,2.0,10.0,8.0,10.0,30.0,18.0,15.0,35.0,25.0,20.0,38.0,29.0,40.0,60.0,52.0
29706,2.0,15.0,8.0,5.0,15.0,10.0,17.0,23.0,20.0,10.0,20.0,15.0,12.5,23.5,18.0
29705,20.0,40.0,30.0,18.0,22.0,20.0,40.0,60.0,50.0,15.0,23.0,18.0,18.0,22.0,19.0
29704,35.0,65.0,50.0,20.0,40.0,30.0,30.0,50.0,40.0,20.0,50.0,35.0,25.0,40.0,32.0
29702,40.0,70.0,55.0,40.0,70.0,55.0,50.0,75.0,65.0,25.0,40.0,30.0,55.0,70.0,63.6
29701,65.0,85.0,75.0,35.0,55.0,45.0,55.0,85.0,70.0,60.0,85.0,75.0,40.0,70.0,55.0
29700,55.0,75.0,65.0,65.0,80.0,72.0,55.0,85.0,70.0,55.0,75.0,65.0,50.0,75.0,65.0
29699,78.0,95.0,88.0,25.0,40.0,30.0,10.0,25.0,10.0,45.0,65.0,55.0,35.0,65.0,50.0
29696,82.0,92.0,87.0,75.0,95.0,88.0,85.0,98.0,94.0,80.0,95.0,90.0,85.1,99.9,95.1
29637,12.0,25.0,18.0,15.0,30.0,22.0,10.0,20.0,15.0,12.0,25.0,18.0,8.0,18.0,13.0
29633,20.0,60.0,35.0,10.0,30.0,18.0,20.0,40.0,30.0,15.0,30.0,22.0,15.0,35.0,25.0
29632,70.0,85.0,77.0,55.0,95.0,75.0,80.0,97.0,90.0,60.0,80.0,70.0,60.0,79.0,70.0
29631,55.0,75.0,65.0,45.0,60.0,52.5,45.0,65.0,55.0,40.0,60.0,55.0,40.0,60.0,52.0
29600,20.0,50.0,35.0,25.0,55.0,40.0,20.0,45.0,30.0,10.0,20.0,15.0,25.0,50.0,35.0
29595,45.0,85.0,65.0,55.0,80.0,70.0,60.0,85.0,75.0,60.0,80.0,70.0,60.0,75.0,68.0
29593,45.0,70.0,58.0,65.0,90.0,80.0,75.0,95.0,85.0,68.0,88.0,79.0,65.0,85.0,78.0
29546,8.0,19.0,14.0,15.0,25.0,20.0,15.0,30.0,20.0,12.0,20.0,15.0,10.0,20.0,14.5
29545,1.0,4.0,2.0,1.0,9.0,3.0,4.5,11.5,7.5,10.0,20.0,12.5,1.5,7.0,3.5
29497,25.0,55.0,38.0,40.0,55.0,47.5,45.5,54.5,50.05,40.0,60.0,45.0,42.0,58.0,49.5
29496,20.0,30.0,25.0,20.0,40.0,30.0,15.0,30.0,20.0,50.0,70.0,60.0,35.0,55.0,45.0
29490,50.0,75.0,60.0,50.0,80.0,65.0,92.0,99.0,97.0,85.0,99.0,95.0,55.0,80.0,70.0
29485,35.0,55.0,44.0,35.0,50.0,42.0,30.0,50.0,38.0,35.0,50.0,42.0,30.0,45.0,38.0
29433,38.0,57.0,47.0,37.0,47.0,42.0,30.0,50.0,40.0,30.0,50.0,40.0,35.0,55.0,45.0
29432,35.0,55.0,45.0,60.0,85.0,75.0,96.0,99.9,98.0,75.0,98.5,90.0,60.0,80.0,70.0
29431,50.0,75.0,65.0,10.0,25.0,15.0,5.0,20.0,10.0,8.0,20.0,12.0,5.0,15.0,9.0
29430,20.0,45.0,32.5,16.0,42.0,29.0,15.0,30.0,22.0,15.0,40.0,32.0,28.0,48.0,38.0
29429,65.0,85.0,75.0,78.0,95.0,88.0,68.0,82.0,75.0,60.0,80.0,70.0,78.0,92.0,85.0
29428,40.0,60.0,48.0,30.0,50.0,40.0,38.0,48.0,43.0,35.0,55.0,44.0,47.0,59.0,53.0
29427,40.0,60.0,49.0,40.0,60.0,48.0,35.0,50.0,42.0,30.0,60.0,45.0,38.0,48.0,43.0
29426,40.0,60.0,50.0,35.0,55.0,45.0,35.0,65.0,42.0,38.0,54.0,46.0,35.0,60.0,45.0
29425,25.0,45.0,35.0,30.0,55.0,40.0,30.0,45.0,37.5,35.0,65.0,48.0,25.0,45.0,35.0
29424,58.0,78.0,68.0,58.0,78.0,68.0,60.0,80.0,72.0,54.0,74.0,64.0,60.0,80.0,70.0
29376,40.0,60.0,48.0,45.0,55.0,51.0,40.0,60.0,52.0,40.0,55.0,47.5,40.0,60.0,50.0
29375,54.5,70.5,62.0,55.0,80.0,67.5,53.0,68.0,61.0,60.0,80.0,70.0,70.0,90.0,80.0
29374,40.0,70.0,55.0,40.0,60.0,50.0,58.0,72.0,65.0,55.0,72.0,63.0,55.0,75.0,65.0
29373,35.0,65.0,45.0,20.0,45.0,30.0,40.0,60.0,48.0,25.0,45.0,35.0,35.0,55.0,40.0
29372,40.0,60.0,48.0,42.0,54.0,48.0,38.0,52.0,45.0,40.0,60.0,48.0,40.0,60.0,48.0
29371,40.0,60.0,52.0,45.1,62.1,54.6,40.1,59.9,47.5,40.0,60.0,49.0,44.0,66.0,55.0
29370,49.0,62.0,55.0,40.0,65.0,53.0,40.0,60.0,52.0,35.0,55.0,43.0,45.0,65.0,55.0
29369,40.0,60.0,55.0,30.0,60.0,45.0,35.0,65.0,45.0,30.0,60.0,45.0,40.0,60.0,50.0
29367,50.0,80.0,70.0,18.0,38.0,26.0,50.0,70.0,60.0,75.0,95.0,85.0,18.0,30.0,24.0
29366,70.0,90.0,80.0,87.5,97.5,93.5,75.0,95.0,85.0,70.0,95.0,85.0,72.5,93.5,85.0
29320,10.0,30.0,20.0,18.0,30.0,24.0,18.0,32.0,25.0,12.0,32.0,20.0,3.0,12.0,7.0
29319,65.0,90.0,80.0,25.0,45.0,35.0,55.0,75.0,65.0,50.0,80.0,65.0,55.0,75.0,65.0
29318,28.0,43.0,36.0,15.0,30.0,22.5,18.6,24.6,20.6,23.0,32.0,28.0,14.4,30.0,21.6
29317,10.0,30.0,18.0,20.0,45.0,33.0,15.0,30.0,20.0,10.0,30.0,20.0,12.0,40.0,22.0
29315,55.0,75.0,65.0,60.0,85.0,75.0,40.0,70.0,55.0,65.0,85.0,75.0,65.0,85.0,75.0
29314,10.0,18.0,13.5,15.0,40.0,26.2,5.0,15.0,8.78,5.0,10.0,7.0,10.0,15.0,12.48
29313,65.0,85.0,75.0,40.0,70.0,60.0,65.0,85.0,75.0,69.0,89.0,79.0,60.0,85.0,75.0
29312,22.0,46.0,34.0,25.0,49.0,40.0,18.0,32.0,25.0,25.0,55.0,40.0,35.0,55.0,45.0
29277,5.0,15.0,10.0,2.5,9.0,5.0,10.0,20.0,15.0,2.5,9.0,5.0,15.0,35.0,25.0
29276,8.0,20.0,14.0,10.0,25.0,17.0,1.1,10.1,4.1,10.0,20.0,14.0,15.0,35.0,25.0
29275,57.0,73.0,65.0,58.0,72.0,65.0,55.0,75.0,65.0,55.0,75.0,65.0,65.0,80.0,73.0
29274,1.0,10.0,3.0,20.0,40.0,30.0,28.0,55.0,40.0,1.0,15.0,5.0,0.1,5.0,1.25
29273,40.0,60.0,50.0,40.0,60.0,50.0,40.0,60.0,47.5,45.0,55.0,50.0,40.0,60.0,50.0
29212,35.0,55.0,45.0,35.0,50.0,42.0,35.0,55.0,45.0,40.0,60.0,50.0,45.0,65.0,55.0
29209,80.0,95.0,90.0,88.0,98.0,95.0,75.0,95.0,88.0,75.0,95.0,85.0,75.0,95.0,88.0
29208,80.0,95.0,88.0,75.0,95.0,85.0,75.0,85.0,80.0,70.0,95.0,85.0,70.0,95.0,85.0
29207,10.0,20.0,15.0,25.0,45.0,35.0,78.5,93.5,87.75,5.0,15.0,10.0,2.0,10.0,5.0
29201,55.0,75.0,65.0,40.0,70.0,55.0,50.0,75.0,65.0,60.0,80.0,70.0,20.0,40.0,28.0
29168,15.0,30.0,20.0,45.0,75.0,62.0,20.0,35.0,28.0,15.0,35.0,25.0,25.0,45.0,35.0
29167,15.0,35.0,25.0,18.0,32.0,25.0,18.0,40.0,29.0,10.0,30.0,18.0,40.0,60.0,50.0
29163,5.0,10.0,7.0,1.0,5.0,2.0,2.0,7.0,4.0,1.1,5.1,2.85,0.5,4.0,1.5
29162,40.0,60.0,48.0,45.0,75.0,62.0,58.0,72.0,65.0,55.0,75.0,65.0,45.0,75.0,60.0
29161,39.2,51.2,45.2,20.0,35.0,28.0,1.1,5.0,3.0,25.0,70.0,45.0,20.0,40.0,30.0
29125,25.0,45.0,35.0,60.0,80.0,70.0,40.0,80.0,65.0,30.0,50.0,40.0,35.0,45.0,40.0
29124,30.0,42.0,36.0,40.0,60.0,48.0,35.0,60.0,45.0,37.0,53.0,44.0,40.0,60.0,48.0
29123,45.0,65.0,55.0,45.0,65.0,55.0,40.0,60.0,53.0,40.0,65.0,53.0,49.0,59.0,54.0
29122,15.0,35.0,25.0,5.0,20.0,10.0,5.0,15.0,10.0,15.0,30.0,20.0,1.5,9.5,5.0
29118,18.0,22.0,20.0,14.5,20.5,17.5,8.0,20.0,14.0,10.0,18.0,14.0,10.0,20.0,15.0
29117,14.5,21.5,18.0,2.0,12.0,7.0,20.0,27.0,23.5,8.0,18.0,13.0,15.0,25.0,19.25
29116,4.0,8.0,6.0,6.5,9.5,8.0,2.0,10.0,6.0,5.0,25.0,15.0,5.0,10.0,7.0
29115,1.0,4.0,2.0,2.0,5.0,3.5,1.1,8.1,3.6,1.5,6.0,3.0,5.0,10.0,7.5
29114,8.0,14.0,11.0,10.0,20.0,15.0,14.0,22.0,18.0,1.0,10.0,5.0,15.0,22.0,18.0
29113,5.0,7.0,6.1,8.0,18.0,13.0,12.0,20.0,16.0,15.0,20.0,18.0,9.75,12.75,11.25
29112,4.0,10.0,7.0,5.0,10.0,7.5,5.0,15.0,8.5,2.5,5.0,3.5,2.0,8.0,5.0
29111,2.0,10.0,6.0,1.0,7.0,3.0,0.5,5.0,2.0,2.5,7.5,4.0,0.8,3.2,1.9
29110,75.0,95.0,85.0,65.0,85.0,75.0,65.0,85.0,75.0,70.0,90.0,80.0,65.0,85.0,78.0
29074,30.0,60.0,45.0,30.0,70.0,60.0,30.0,50.0,40.0,30.0,50.0,40.0,30.0,70.0,55.0
29070,25.0,40.0,32.5,15.0,35.0,25.0,50.0,85.0,70.0,60.0,85.0,75.0,8.0,12.0,10.0
29068,25.0,45.0,35.0,55.0,75.0,65.0,65.0,80.0,72.0,22.0,40.0,31.0,45.0,75.0,60.0
29067,25.0,65.0,45.0,20.1,40.1,30.1,30.0,70.0,50.0,60.0,80.0,70.0,12.0,20.0,15.0
29066,15.0,29.0,22.0,35.0,55.0,45.0,15.0,25.0,20.0,40.0,60.0,53.33,25.0,40.0,32.5
29065,10.0,30.0,20.0,20.0,45.0,30.0,25.0,45.0,35.0,28.0,33.0,30.0,20.0,55.0,35.0
29064,15.0,40.0,25.0,20.0,45.0,30.0,55.0,85.0,70.0,0.1,12.0,3.0,10.0,30.0,20.0
29039,55.0,75.0,65.0,55.0,75.0,66.0,57.0,77.0,67.0,51.0,71.0,61.0,55.0,70.0,63.0
29038,20.0,45.0,30.0,25.0,55.0,40.0,22.5,37.5,30.0,15.0,45.0,30.0,20.0,45.0,32.0
29012,15.0,30.0,22.0,30.0,50.0,40.0,18.0,30.0,24.0,15.0,40.0,25.0,10.0,40.0,20.0
29011,60.0,80.0,70.0,65.0,85.0,77.0,80.0,98.0,90.0,65.0,80.0,72.5,53.0,67.0,60.0
29010,35.0,65.0,55.0,30.0,60.0,40.0,35.0,55.0,45.0,25.0,40.0,32.0,30.0,55.0,45.0
29008,65.0,85.0,75.0,50.0,60.0,55.0,55.0,75.0,65.0,35.0,75.0,60.0,60.0,80.0,70.0
28905,0.5,4.5,2.0,0.1,0.1,0.1,0.2,1.7,0.8,0.1,2.0,0.5,0.1,2.0,0.5
